mail.ru,mail.ru/,Почта Mail.Ru,3435750,73
Lenta,lenta.ru,Lenta.Ru,3255278,78
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3063463,81
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,2738300,81
kp,kp.ru,Комсомольская правда-Digital,2470886,67
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1938856,86
mic_izvestia,iz.ru,Известия,1927262,83
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1484271,75
TASS_total,tass.ru,ТАСС - Новости в России и мире,1335600,87
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1237128,78
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,1140536,73
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,1094292,92
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,1038191,81
drom,www.drom.ru,Дром - цены на машины,1035285,88
Lentainform,lentainform.com/,Lentainform.com - Новостной агрегатор,1032411,73
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1012388,78
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,998923,79
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,990898,72
Cinemaentertainment,cinemaentertainment.ru,Cinemaentertainment,791136,66
russian.rt.com,russian.rt.com/,RT на русском,784060,80
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,722806,91
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,713712,84
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,706147,81
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,690663,82
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,679611,85
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",630160,79
teleprogramma.pro,teleprogramma.pro/,Teleprogramma.pro: телегид и шоу-бизнес,625319,58
starhit.ru,starhit.ru/,Starhit.ru – Новости шоу-бизнеса,582395,82
farpost,farpost.ru,Сайты Владивостока,546888,96
riafan.ru,riafan.ru/,Федеральное агентство новостей,542330,81
mail.ru,mail.ru/,Почта Mail.Ru,3435750,73
Lenta,lenta.ru,Lenta.Ru,3255278,78
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3063463,81
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,2738300,81
kp,kp.ru,Комсомольская правда-Digital,2470886,67
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1938856,86
mic_izvestia,iz.ru,Известия,1927262,83
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1484271,75
TASS_total,tass.ru,ТАСС - Новости в России и мире,1335600,87
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1237128,78
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,1140536,73
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,1094292,92
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,1038191,81
drom,www.drom.ru,Дром - цены на машины,1035285,88
Lentainform,lentainform.com/,Lentainform.com - Новостной агрегатор,1032411,73
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1012388,78
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,998923,79
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,990898,72
Cinemaentertainment,cinemaentertainment.ru,Cinemaentertainment,791136,66
russian.rt.com,russian.rt.com/,RT на русском,784060,80
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,722806,91
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,713712,84
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,706147,81
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,690663,82
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,679611,85
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",630160,79
teleprogramma.pro,teleprogramma.pro/,Teleprogramma.pro: телегид и шоу-бизнес,625319,58
starhit.ru,starhit.ru/,Starhit.ru – Новости шоу-бизнеса,582395,82
farpost,farpost.ru,Сайты Владивостока,546888,96
riafan.ru,riafan.ru/,Федеральное агентство новостей,542330,81
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,525568,82
kp/radiokpru,radiokp.ru,Радио &quot;Комсомольская правда&quot;,513602,66
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,501184,76
vz.ru,vz.ru/,ВЗГЛЯД.РУ,499343,78
regnum.ru,regnum.ru/,ИА REGNUM,485411,82
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,472646,78
profile.ru,www.profile.ru/,Журнал &quot;Профиль&quot;,469967,56
tutu.ru,tutu.ru/,"Туту.ру - авиа и ж/д билеты, отели, информация для путешественников",432977,93
CIAN,www.cian.ru/,ЦИАН ГРУПП - Лидер онлайн недвижимости России,420524,92
kino-teatr.ru,www.kino-teatr.ru/,"Кино-Театр.РУ - интервью, статьи, премьеры, новости кино и театра",410377,60
Sportbox,www.sportbox.ru,Sportbox.ru,403419,87
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",396179,77
echo.msk.ru,www.echo.msk.ru/,Эхо Москвы,386759,77
sport24.ru,sport24.ru/,Sport24,383743,86
vokrug.tv,www.vokrug.tv/,"Вокруг ТВ - телегид, телепрограмма и энциклопедия телевидения",378042,63
mail-my,my.mail.ru/,Мой Мир Mail.Ru,369311,71
russianfood.com,www.russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,335327,72
eg.ru,www.eg.ru/,"ЭКСПРЕСС газета - новости, аналитика, истории",327556,72
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,323984,82
ntv.ru,www.ntv.ru/,"НТВ.ru - Новости, видео, прямой эфир телеканала НТВ",313147,81
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,302074,90
360tv,360tv.ru,Телеканал 360°,280668,90
RS_Total/RS_projects/1prime_Total,1prime.ru,"ПРАЙМ - новости, комментарии, ход торгов на биржах, тех. анализ",279948,85
1000.menu,1000.menu/,🍅 Кулинарные рецепты 🍰 1000.menu 🍔🥑,265936,62
1Mediainvest,1mediainvest.ru/,1Mediainvest - федеральный медиахолдинг,263719,92
avtovzglyad.ru,avtovzglyad.ru/,АвтоВзгляд - авто новости,263641,71
rugion,rugion.ru/,Сеть региональных сайтов &quot;Ругион&quot;,260185,93
NaPlatforme,mirtesen.ru,Рекомендательная социальная сеть МирТесен,259800,86
baza.drom.ru,baza.drom.ru/,Объединенная база запчастей,252480,91
hsdigital/wn/woman/forum,hsdigital/wn/woman/forum,Woman.ru - Форум,250331,73
fishki,fishki.net/,Фишки Нет - первое развлекательное сообщество Рунета,246098,71
e1_ru,e1.ru,E1.RU — Екатеринбург Он-Лайн,245886,91
5-tv.ru,5-tv.ru/,Пятый канал,245764,86
RS_Total/Riaru_Total/RSport_Total,rsport.ria.ru/,Р-Спорт. Все главные новости спорта,245613,84
fontanka.ru,fontanka.ru/,Фонтанка.Ру - новости Петербурга,240051,88
ngs_ru,ngs.ru,Независимый Городской Сайт Новосибирска,219200,94
hsdigital/rn/smi/66,e1.ru,Е1.RU - Екатеринбург онлайн. Shkulev Digital,211760,92
dni.ru,dni.ru/,ДНИ ру - интернет-газета,210884,67
Trashbox,trashbox.ru,Trashbox.ru — мобильный портал нового поколения,208627,60
kinoafisha.info,www.kinoafisha.info/,Киноафиша.info - афиша кинотеатров,206627,87
7days.ru,7days.ru/,"7Дней.ру - Всё о звездах! Новости, интервью, фото и видео звезд",197201,79
gazeta.ru/politics,gazeta.ru/politics/,Газета.Ru: Политика,195673,90
3dnews.ru,3dnews.ru/,"3DNews - все о компьютерах, комплектующих, гаджетах и софте",195186,69
3dnews.ru,3dnews.ru/,"3DNews - все о компьютерах, комплектующих, гаджетах и софте",195186,69
wday.ru,www.wday.ru/,Женский онлайн-журнал WDay.ru,189766,60
hsdigital/rn/smi/54,news.ngs.ru/,NGS.RU - главные новости Новосибирска. Shkulev Digital,189000,94
life.ru,life.ru/,L!FE.ru,188289,80
autonews.ru,www.autonews.ru/,Autonews.ru: новости об автомобилях,185739,91
hsdigital/wn/woman/media,hsdigital/wn/woman/media,Woman.ru Медиа,171075,82
kubnews.ru,kubnews.ru/,Кубанские Новости,170887,71
4pda.ru,4pda.ru/,4PDA.ru,169826,67
russian.rt.com/sport,russian.rt.com/sport/,Спорт - RT на русском,166081,83
film.ru,film.ru/,ФИЛЬМ.РУ: национальный кинопортал,156506,57
gazeta.ru/social,gazeta.ru/social/,Газета.Ru: Общество,156463,87
povarenok,www.povarenok.ru/,Поваренок.ру - всё о кулинарии,155219,76
marieclaire.ru,www.marieclaire.ru/,Marie Claire,154786,80
russian7.ru,russian7.ru/,Русская семерка,154667,84
baby_ru,www.baby.ru/,бэби.ру - быть счастливой мамой,153331,86
inosmi.ru,inosmi.ru/,ИноСМИ,152404,81
spaces.ru,spaces.ru/,Spaces.ru - крупнейшая мобильная соц.сеть,151551,62
uznayvse.ru,uznayvse.ru/,Портал всех новостей &quot;Узнай всЁ&quot;,150481,64
action,www.glavbukh.ru/,"&lt;Актион-МЦФЭР&gt; — издания для директоров, руководителей, главбухов",149571,77
novayagazeta.ru,novayagazeta.ru/,НОВАЯ ГАЗЕТА,146723,81
topwar.ru,topwar.ru/,Военное обозрение,146102,82
tk_m24,www.m24.ru/,Сетевое издание M24.ru,144599,75
news.ru,news.ru/,NEWS.ru ─ Информационный портал,144059,90
PlayGround,www.PlayGround.ru,PlayGround.ru - Российский Игровой Сервер,140892,73
kp/kpall/putevoditel/serialy,www.kp.ru/putevoditel/serialy,Кино и Сериалы КП,137901,75
womanmediafort,www.mediafort.ru/,Женские сайты группы &quot;МедиаФорт&quot;,137847,64
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),135346,87
aif.ru/society,aif.ru/society/,АИФ Общество,134507,86
yaplakal.com,yaplakal.com/,ЯПлакалъ - крупнейшее информационно-развлекательное сообщество рунета,134104,72
pravmir.ru,www.pravmir.ru/,ПРАВОСЛАВИЕ И МИР,129711,76
pnpru,www.pnp.ru,Парламентская газета: новости Госдумы и Совета Федерации,126927,92
ruprom,tiu.ru,Tiu.ru — Товары и услуги. Крупнейший в России портал товаров и услуг,124268,88
sobesednik.ru,www.sobesednik.ru/,ИД Собеседник,123390,92
tourister,tourister.ru,Туристер.Ру,123056,77
evo-rus.com,evo-rus.com/,Новостной сайт evo-rus,122632,92
mylove,mylove.ru,LOVE.RU - социальная сеть знакомств,122512,78
gastronom.ru,www.gastronom.ru/,Кулинарный портал &quot;ГАСТРОНОМ&quot;,122205,66
znak.com,www.znak.com/,Интернет-газета ZNAK.COM,121404,90
zr.ru,zr.ru/,Журнал &quot;За рулем&quot;. Автомобили в России,120539,62
rosbalt.ru,rosbalt.ru/,Росбалт - Новости России и мира сегодня,120146,76
elle.ru,www.elle.ru/,"Elle.ru – сайт №1 о моде, красоте и стиле жизни",120109,59
psychologies.ru,www.psychologies.ru/,Официальный сайт журнала Psychologies,119758,80
vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,116596,83
topcor.ru,topcor.ru/,Репортёр,114413,87
progorod,progorod43.ru,Сеть порталов PRO Город,112275,94
eadaily.com,eadaily.com/,ИА Eurasia Daily,111301,82
mednovelty.ru,mednovelty.ru/,Новые разработки в медицине,108805,94
zaycev.net,zaycev.net/,ТУТ ЗАЙЦЕВ.НЕТ! Только самые свежие и популярные mp3 БЕСПЛАТНО и БЕЗ РЕГИСТРАЦИИ,108403,84
Nevnov,nevnov.ru,Невские Новости,107478,93
pravmir,www.pravmir.ru,ПРАВОСЛАВИЕ И МИР,106269,73
football.kulichki.net,www.football.kulichki.net/,"Футбол на Куличках - Новости, отчеты, аналитика, текстовые трансляции, видео!",105934,65
edimdoma.ru,edimdoma.ru/,«Едим Дома!» — кулинарная социальная сеть. Рецепты.,105647,58
hsdigital/mn,hearst-shkulev-media.ru,Men's Network hearst-shkulev-media.ru,104902,70
rusprofile.ru,rusprofile.ru/,Rusprofile.ru - бесплатная проверка контрагента,104220,93
rueconomy.ru,rueconomy.ru/,Экономика Сегодня,103961,85
Superjob,www.superjob.ru/,"Работа, вакансии, подбор персонала, резюме, поиск работы - SuperJob",102784,93
lena-miro.ru,lena-miro.ru/,Лена Миро,102440,76
davay-pozhenimsya.tv,davay-pozhenimsya.tv/,davay-pozhenimsya.tv,102355,56
vgtimes.ru,vgtimes.ru/,VGTimes,101747,72
rossaprimavera.ru,rossaprimavera.ru/,ИА «Красная весна»,101286,82
amdm.ru,amdm.ru/,"AmDm.ru - портал для музыкантов | аккорды, табулатуры, gtp, mp3 песен, программы",98554,78
ctc.ru,ctc.ru/,Телеканал СТС,97871,77
nation-news.ru,nation-news.ru/,Народные новости России,96820,86
u-f.ru,u-f.ru/,Южный Федеральный - газета южного федерального округа,96356,44
ftimes.ru,ftimes.ru/,FTimes,94780,93
svoboda.org,www.svoboda.org/,Радио Свобода,94528,72
hsdigital/mn/maximonline,maximonline.ru,MAXIM Online,93819,72
overclockers.ru,www.overclockers.ru/,Overclockers.ru - Профессиональные новости и статьи Hard &amp; Soft &amp; Mobile,93598,68
hsdigital/wn/ellegirl,ellegirl.ru,ELLE GIRL: официальный сайт журнала,91661,72
fssprus,www.fssprus.ru,Федеральная служба судебных приставов,91376,96
forbes.ru,www.forbes.ru/,Forbes Россия,90642,75
ridus.ru,ridus.ru/,Ридус,90499,61
kudago.com,kudago.com/,"Куда пойти? Москва, Санкт-Петербург. KudaGo.",89500,91
iphones.ru,www.iphones.ru/,iPhone,89262,70
business-gazeta.ru,www.business-gazeta.ru/,БИЗНЕС ОНЛАЙН - Деловые новости Казани и Татарстана,89047,92
motor.ru,motor.ru/,Мотор,88582,63
tvzvezda.ru,tvzvezda.ru/,"ЗВЕЗДА, медиагруппа  | Круглосуточное информационное вещание",87686,58
vedomosti.ru,vedomosti.ru/,Ведомости - ежедневная деловая газета,87678,66
liveinternet.ru,www.liveinternet.ru/,LiveInternet.ru - лучшая статистика в интернете бесплатно,86655,60
bazr.ru,bazr.ru/,BAZR.ru - Смотреть бесплатно русские сериалы,85518,62
vmdaily.ru,vmdaily.ru/,"Вечерняя Москва - основные события дня, настоящее и будущее столицы.",85474,87
cybersport.ru,www.cybersport.ru/,CyberSport.ru – портал о киберспорте,84769,69
mir24.tv,mir24.tv/,"Mir24.tv: новости дня, фото и видео",83762,63
74,74.ru,Группа сайтов 74.ru,83663,93
fotostrana,fotostrana.ru,ФотоСтрана – развлекательная социальная сеть,82625,70
SPORT-RU,sport.ru,Sport.ru,82534,83
sovsport.ru,www.sovsport.ru/,Советский спорт,82165,85
lookmart,www.lookmart.ru/,Я Покупаю - Россия,81900,90
medaboutme.ru,medaboutme.ru/,Medaboutme (медицина обо мне) - информационная медицинская система,80984,90
Bankiros,bankiros.ru/,"Bankiros.ru - кредиты, вклады, курсы валют",80784,96
tabor.ru,tabor.ru/,Tabor.ru - Сайт знакомств нового поколения!,80291,47
m.my.mail.ru,m.my.mail.ru/,Мобильная версия Моего Мира Mail.Ru,79272,72
sport.rbc.ru,sport.rbc.ru/,РБК-Спорт: Ведущее спортивное издание для деловой аудитории,78655,85
100sp.ru,www.100sp.ru/,Совместные покупки,77723,97
politros.com,politros.com/,Политическая Россия,77434,83
soccer.ru,www.soccer.ru/,"Soccer.Ru - новости футбола, аналитика",76162,77
hsdigital/rn/smi/74,74.ru,74.ru - главные новости Челябинска. Shkulev Digital,75947,93
wikivox.ru,wikivox.ru/,Карта слов и выражений русского языка,75933,65
tab.film,tab.film/,TABFILM — Фильмы онлайн,75862,81
travelask.ru,travelask.ru/,"TravelAsk - журнал о путешествиях, путеводитель, вопросы и ответы",75404,76
volg.mk.ru,volg.mk.ru/,МК в Волгограде,74776,92
ruposters.ru,ruposters.ru/,Рупостерс,73315,90
teksty-pesenok.ru,teksty-pesenok.ru/,Тексты песенок,73246,75
russkiiyazyk.ru,russkiiyazyk.ru/,Русский язык,72839,67
rlsnet.ru,www.rlsnet.ru/,ЭНЦИКЛОПЕДИЯ ЛЕКАРСТВ - www.rlsnet.ru,72332,77
Tatmedia,tatmedia.ru/,Татмедиа,72224,89
politpuzzle.ru,politpuzzle.ru/,Информационно-аналитический портал Politpuzzle.ru,72151,83
miasskiy.ru,miasskiy.ru/,&quot;Миасский рабочий&quot; информационный сайт городской газеты,72127,78
aif.ru/money,aif.ru/money/,АИФ Деньги,70713,89
tvc.ru,www.tvc.ru/,ТВ Центр,70658,78
1tv.ru,www.1tv.ru/,1TV - ПЕРВЫЙ КАНАЛ - ТВ РОССИИ,69321,78
vl.ru,vl.ru/,Сайт Владивостока,67821,96
razlozhi.ru,razlozhi.ru/,"Карточные игры онлайн, пасьянсы, игры с другими игроками.",67634,63
hsdigital/rn/forum,НГС.ФОРУМ,Hearst Shkulev Digital — ФОРУМЫ,66776,85
kp/kpall/reg/kpspb,spb.kp.ru,&quot;Комсомольская правда&quot; Санкт-Петербург,66547,83
primpress.ru,primpress.ru/,PRIMPRESS.RU - Новости Владивостока и Приморского края,66538,95
mirkvartir,www.mirkvartir.ru,МИР КВАРТИР - Вся недвижимость России,65073,89
